Electrical conductivity (mostly) in ohm-1 * cm-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
MnCl2-NaCl,9.94-90.06,+E,1053,1143,,8.199,-8727.97,,,,,
MnCl2-NaCl,19.98-80.02,+E,977,1128,,6.781,-8008.73,,,,,
MnCl2-NaCl,29.85-70.15,+E,884,1074,,7.611,-9715.41,,,,,
MnCl2-NaCl,39.71-60.29,+E,733,1100,,8.689,-11377.74,,,,,
MnCl2-NaCl,49.78-50.22,+E,775,1108,,7.801,-10864.36,,,,,
MnCl2-NaCl,59.12-40.88,+E,766,1112,,8.143,-11555.15,,,,,
MnCl2-NaCl,70.89-29.11,+E,848,1122,,7.322,-11108.71,,,,,
MnCl2-NaCl,74.44-25.56,+E,878,1124,,6.719,-10689.88,,,,,
MnCl2-NaCl,90.56-9.44,+E,916,1119,,6.14,-10620.42,,,,,
MnCl2-NaCl,100-0,+E,931,1106,,5.493,-10194.9,,,,"For 100% MnCl2, the departures from the recommended data set are: 931 K -0.8%,1106 K 0.8%.",
MnCl2-RbCl,0-100,+E,999,1107,,6.945,-12639.24,,,,"For 100% RbCl, the departures from the recommended data set are: 1003 K -0.6%,1107 K -2.5%.",
MnCl2-RbCl,9.67-90.33,+E,1003,1104,,6.166,-12733.38,,,,,
MnCl2-RbCl,20.36-79.64,+E,882,1105,,6.092,-14003.66,,,,,
MnCl2-RbCl,30-70,+E,785,1087,,6.435,-15262.23,,,,,
MnCl2-RbCl,40-60,+E,897,1090,,5.005,-13439.65,,,,,
MnCl2-RbCl,50-50,+E,868,1105,,4.286,-11755.14,,,,,
MnCl2-RbCl,60-40,+E,816,1097,,4.08,-10648.46,,,,,
MnCl2-RbCl,70-30,+E,778,1104,,6.967,-14296.97,,,,,
MnCl2-RbCl,79-21,+E,848,1106,,6.554,-13259.32,,,,,
MnCl2-RbCl,90-10,+E,956,1103,,5.509,-11080.25,,,,,
MnCl2-RbCl,100-0,+E,931,1106,,5.493,-10194.9,,,,"For 100% MnCl2, the departures from the recommended data set are: 931 K -0.8%,1106 K 0.8%.",
MnF2,100,+E,1223,1273,5%,16.9026,-12561.41,,,,,
MoO3,100,+E,1096,1187,5%,11.642,-23372.22,,,,,
MoO3-Na2MoO4,0-100,+E,1030,1230,,15.609,-21388.97,,,,"For 100% Na2MoO4, the results have been advanced as the recommended data set.",
MoO3-Na2MoO4,10-90,+E,1050,1230,,12.9668,-20271.4,,,,,
MoO3-Na2MoO4,20-80,+E,1030,1090,,16.1599,-21696.08,,,,,
MoO3-Na2MoO4,28-72,+E,930,1090,,30.6736,-27217.79,,,,,
MoO3-Na2MoO4,34-66,+E,930,1080,,18.6285,-23077.66,,,,,
MoO3-Na2MoO4,50-50,+E,930,1080,,20.835,-25389.77,,,,,
MoO3-Na2MoO4,60-40,+E,930,1090,,19.735,-25473.45,,,,,
MoO3-Na2MoO4,70-30,+E,930,1080,,27.727,-28598.54,,,,,
MoO3-Na2MoO4,78-22,+E,930,1080,,46.7844,-33531.56,,,,,
MoO3-Na2MoO4,88-12,+E,930,1080,,4.28398,-15509.09,,,,,
MoO3-Na2MoO4,90.2-9.8,+E,1070,1150,,17.4519,-26388.93,,,,,
MoO3-Na2MoO4,100-0,+E,1080,1180,,11.642,-23372.22,,,,"For 100% MoO3, the results have been advanced as the recommended data set.",
N(C3H7)4BF4,100,+E,522.7,554.6,3%,6.6731,-18714.09,,,,,
N(C3H7)4PF6,100,+E,511.03,545.15,3%,21.0096,-24696.56,,,,,
N(C3H7)4SCN,100,+E,330,370,,2554.1,-42920.19,,,,,
N(C4H9)4B(C6H5)4,100,+E,514.3,540.4,3%,8.027,-27560.47,,,,,
N(C4H9)4Br,100,+E,390.3,407.7,3%,1926.41,-45264.94,,,,,
N(C4H9)4I,100,+E,420.7,440.13,3%,281.56,-38000.14,,,,,
N(C4H9)4PF6,100,+E,529.5,548.5,3%,8.654,-23485.6,,,,,
N(C5H11)4SCN,100,+E,325,383,7%,1140.2,-40669.16,,,,,
NaAlCl4,100,P2,448,673,2%,-1.59838,0.00601589,-3.29411E-6,,,,
NaBF4,100,+E,700,780,20%,5.2325,-6447.65,,,,,
NaBF4-NaF,20.3-79.7,+E,1023,1073,,78458.9,-83860.06,,,,,
NaBF4-NaF,27.7-72.3,+E,873,1073,,3895.7,-52691.67,,,,,
NaBF4-NaF,36.5-63.5,+E,723,1073,,4394.9,-50782.89,,,,,
NaBF4-NaF,47.2-52.8,+E,723,1073,,1655.8,-41321.88,,,,,
NaBF4-NaF,60.5-39.5,+E,723,1073,,779.7,-34860.,,,,,
NaBF4-NaF,77.5-22.5,+E,723,1073,,531.7,-31758.76,,,,,
NaBr,100,+E,1030,1229,5%,9.097,-9723.78,,,,,
NaBr-NaCl,0-100,+E,1080,1223,,7.6005,-6704.14,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, 0.0%,1200 K, -0.5%.",
NaBr-NaCl,20-80,+E,1073,1223,,7.1469,-6579.87,,,,,
NaBr-NaCl,40-60,+E,1056,1228,,6.897,-6671.5,,,,,
NaBr-NaCl,50-50,+E,1043,1223,,6.6216,-6220.46,,,,,
NaBr-NaCl,60-40,+E,1038,1223,,6.5131,-6502.04,,,,,
NaBr-NaCl,80-20,+E,1080,1223,,6.0807,-6158.11,,,,,
NaBr-NaCl,100-0,+E,1043,1223,,5.845,-5994.94,,,,"For 100% NaBr, the departures from the recommended data set are: 1080 K, -2.7%, 1220 K, -7.2%.",
NaBr-NaI,0-100,+E,943,1153,,5.5351,-6439.28,,,,"For 100% NaI, the departures from the recommended data set are: 950 K, +6.6%, 1150 K, -1.0%.",
NaBr-NaI,20-80,+E,981,1124,,5.4124,-6339.7,,,,,
NaBr-NaI,40-60,+E,963,1127,,5.4124,-6621.29,,,,,
NaBr-NaI,60-40,+E,991,1133,,5.7318,-6511.25,,,,,
NaBr-NaI,80-20,+E,1007,1127,,5.8889,-6440.96,,,,,
NaBr-NaI,100-0,+E,1043,1223,,5.845,-5994.94,,,,"For 100% NaBr, the departures from the recommended data set are: 1080 K, -2.7%, 1220 K, -7.2%.",
NaBr-Na2CrO4,0-100,+E,1073,1113,,21.858,-21290.22,,,,"For 100% Na2CrO4, the results have been advanced as the recommended data set.",
NaBr-Na2CrO4,10-90,+E,1073,1113,,17.955,-18976.01,,,,,
NaBr-Na2CrO4,30-70,+E,1033,1113,,15.288,-16567.66,,,,,
NaBr-Na2CrO4,50-50,+E,1033,1113,,17.649,-17085.65,,,,,
NaBr-Na2CrO4,70-30,+E,1033,1113,,11.726,-12678.57,,,,,
NaBr-Na2CrO4,90-10,+E,1033,1113,,4.898,-4127.08,,,,,
NaBr-Na2CrO4,100-0,+E,1033,1113,,6.714,-6738.44,,,,"For 100% NaBr, the departures from the recommended data set are: 1030 K, +4.6%, 1140 K, +1.6%.",
NaBr-PbBr2,0-100,+E,660,920,,11.966,-15981.47,,,,"For 100% PbBr2, the departures from the recommended data set are: 660 K, -3.8%, 920 K, +3.1%.",
NaBr-PbBr2,8-92,+E,660,920,,11.909,-15816.62,,,,,
NaBr-PbBr2,15-85,+E,660,1020,,8.506,-13463.92,,,,,
NaBr-PbBr2,20-80,+E,660,1020,,8.049,-12971.04,,,,,
NaBr-PbBr2,25-75,+E,660,1020,,7.796,-12670.2,,,,,
NaBr-PbBr2,30-70,+E,680,1020,,7.057,-11866.02,,,,,
NaBr-PbBr2,35-65,+E,700,1020,,7.098,-11680.25,,,,,
NaBr-PbBr2,40-60,+E,760,1020,,6.658,-11133.39,,,,,
NaBr-PbBr2,45-55,+E,760,1020,,6.647,-11070.21,,,,,
NaBr-PbBr2,55-45,+E,800,1020,,6.676,-10945.95,,,,,
NaBr-PbBr2,65-35,+E,940,1020,,6.252,-9604.53,,,,,
NaBr-PbBr2,80-20,+E,960,1020,,9.91,-12205.77,,,,,
NaBr-RbBr,0-100,+E,980,1140,,4.781,-11525.86,,,,"For 100% RbBr, the departures from the recommended data set are: 960 K, +0.2%,1140 K, -3.8%.",
NaBr-RbBr,50-50,+E,960,1150,,5.336,-9811.64,,,,,
NaBr-RbBr,100-0,+E,1050,1220,,5.845,-5994.94,,,,"For 100% NaBr, the departures from the recommended data set are: 1080 K, -2.7%, 1220 K, -7.2%.",
NaBr-ScBr3,30-70,+E,1193,1233,,30.196,-36014.8,,,,,
NaBr-ScBr3,40-60,+E,1113,1233,,6.902,-18137.11,,,,,
NaBr-ScBr3,50-50,+E,1033,1233,,6.958,-16505.74,,,,,
NaBr-ScBr3,60-40,+E,993,1233,,11.171,-19913.24,,,,,
NaBr-ScBr3,70-30,+E,873,1233,,7.079,-14679.39,,,,,
NaBr-ScBr3,80-20,+E,913,1233,,7.384,-12614.55,,,,,
NaBr-ScBr3,90-10,+E,993,1233,,7.568,-10227.12,,,,,
NaBr-ScBr3,100-0,+E,1033,1233,,7.742,-8160.19,,,,"For 100% NaBr, the departures from the recommended data set are: 1030 K, +2.1%, 1220 K, -0.7%.",
NaCl,100,+E,1080,1250,1%,7.6426,-6742.63,,,,,
NaCl,100,P2,1080,1250,1%,-5.6241,0.013964,-5.0245E-6,,,The Polynomial is OPTIONAL to the Exponential. Do not use the Polynomial for EXTRAPOLATIONS.,
NaCl-NaI,0-100,+E,943,1153,,5.5351,-6439.28,,,,"For 100% NaI, the departures from the recommended data set are: 950 K, +6.6%, 1150 K, -1.1%.",
NaCl-NaI,20-80,+E,976,1133,,5.7024,-6774.85,,,,,
NaCl-NaI,60-40,+E,928,1123,,6.1719,-7236.35,,,,,
NaCl-NaI,60-40,+E,997,1133,,6.5709,-7284.88,,,,,
NaCl-NaI,80-20,+E,1034,1153,,7.1393,-7194.51,,,,,
NaCl-NaI,100-0,+E,1080,1223,,7.5822,-6679.03,,,,"For 100% NaCl, the departures from the recommended data set are: 1080 K, +0.2%, 1220 K, -0.2%.",
NaCl-NaNO3,0-100,+E,598,723,,10.1382,-11156.4,,,,"For 100% NaNO3, the departures from the recommended data set are: 610 K, +2.0%, 720 K, -1.0%.",
NaCl-NaNO3,1.07-98.93,+E,598,723,,10.014,-10979.84,,,,,
NaCl-NaNO3,2.07-97.93,+E,598,723,,11.245,-11626.69,,,,,
NaCl-NaNO3,3.1-96.9,+E,598,723,,9.634,-10722.1,,,,,
NaCl-NaNO3,3.96-96.04,+E,600,720,,11.4583,-11719.58,,,,,
NaCl-NaNO3,4.34-95.66,+E,598,723,,10.2443,-11101.59,,,,,
NaCl-NaNO3,5.15-94.85,+E,598,723,,10.4394,-11167.28,,,,,
NaCl-NaNO3,5.96-94.04,+E,600,720,,12.8964,-12399.91,,,,,
NaCl-NaNO3,7.05-92.95,+E,598,723,,9.62165,-10723.35,,,,,
NaCl-NaNO3,8.01-91.99,+E,600,720,,12.1528,-12099.08,,,,,
NaCl-NaNO3,9.2-90.8,+E,598,723,,12.1598,-12176.9,,,,,
NaCl-NaNO3,9.97-90.03,+E,620,720,,11.372,-11705.77,,,,,
NaCl-NaNO3,11-89,+E,648,723,,11.5562,-11804.94,,,,,
NaCl-NaNO3,12.29-87.71,+E,660,720,,8.351,-9885.7,,,,,
NaCl-NaNO3,13.2-86.8,+E,673,723,,9.16045,-10457.66,,,,,
NaCl-NaOH-Na2CO3,1.9-96.4-1.7,+E,600,720,,22.185,-12845.09,,,,,
NaCl-NaOH-Na2CO3,2.0-97.4-0.6,+E,593,723,,24.675,-12802.42,,,,,
NaCl-NaOH-Na2CO3,2.0-96.4-1.6,+E,593,723,,24.109,-13235.05,,,,,
NaCl-NaOH-Na2CO3,2.0-96.1-1.9,+E,593,723,,21.716,-12820.83,,,,,
NaCl-NaOH-Na2CO3,2.1-94.3-3.6,+E,593,723,,22.344,-13377.73,,,,,
NaCl-NaOH-Na2CO3,2.1-94.0-3.9,+E,593,723,,22.682,-13502.83,,,,,
NaCl-NaOH-Na2CO3,2.1-92.9-5.0,+E,593,723,,23.078,-13910.36,,,,,
NaCl-NaOH-Na2CO3,2.3-87.2-10.5,+E,593,723,,23.703,-14698.64,,,,,
NaCl-NaOH-Na2CO3,3.6-94.7-1.7,+E,620,720,,19.1757,-12489.45,,,,,
NaCl-NaOH-Na2CO3,3.8-94.5-1.7,+E,600,720,,20.0419,-12772.71,,,,,
NaCl-NaOH-Na2CO3,6.1-92.2-1.7,+E,600,720,,17.4039,-12458.91,,,,,
NaCl-NaOH-Na2CO3,7.3-91.0-1.7,+E,640,720,,17.325,-12533.8,,,,,
NaCl-NaOH-Na2CO3,10.0-88.3-1.7,+E,600,720,,17.7172,-12948.02,,,,,
NaCl-NaPO3,100-0 NaPO3,I1,1123,,,3.8119,-0.0258,,,,"For 100% NaPO3 and 100% NaCl at 1123 K, the departures from the recommended data sets are respectively, +35% and +2.5%.",
NaCl-Na2B4O7,0-100,+E,1023,1123,,434.2,-66238.01,,,,"For 100% Na2B4O7, the departures from the recommended data set are: 1030 K, 0.0%, 1120 K, +22%.",
NaCl-Na2B4O7,7.5-92.5,+E,1020,1130,,483.452,-65744.29,,,,,
NaCl-Na2B4O7,23.5-76.5,+E,1020,1130,,158.628,-52715.1,,,,,
NaCl-Na2B4O7,39.2-60.8,+E,1080,1130,,183.419,-50409.68,,,,,
NaCl-Na2B4O7,49.3-50.7,+E,1080,1130,,171.807,-47510.11,,,,,
NaCl-Na2CO3,0-100,+E,1103,1323,,25.08,-23041.67,,,,"For 100% Na2CO3, the departures from the recommended data set are: 1150 K, -23%, 1240 K, -18%.",
NaCl-Na2CO3,66.7-33.3,+E,930,1310,,13.4811,-14813.7,,,,,
NaCl-Na2CO3,80-20,+E,990,1310,,13.0294,-13575.22,,,,,
NaCl-Na2SO4,27.4-72.6,DP,,,,3.332,1073K,,,,,
NaCl-Na2SO4,40.9-59.1,DP,,,,3.195,1073K,,,,,
NaCl-Na2SO4,52.0-48.0,DP,,,,2.877,1023K,,,,,
NaCl-Na2SO4,62.2-37.8,DP,,,,2.795,1023K,,,,,
NaCl-Na2SO4,79.1-20.9,DP,,,,2.395,1023K,,,,,
NaCl-Na2SO4,79.7-20.3,DP,,,,2.573,1073K,,,,,
NaCl-Na2SO4,86.7-13.3,DP,,,,2.173,1023K,,,,,
NaCl-Na2SO4,93.6-6.4,DP,,,,2.086,1073K,,,,,
NaCl-Na2TiF6,0-100,+E,1000,1150,,24.66,-21719.51,,,,"For 100% Na2TiF6, the results have been advanced as the recommended data set.",
NaCl-Na2TiF6,15.79-84.21,+E,1000,1150,,3.91394,-8868.97,,,,,
NaCl-Na2TiF6,28.33-71.67,+E,1000,1140,,6.36913,-11553.05,,,,,
NaCl-Na2TiF6,38.56-61.44,+E,970,1100,,9.64559,-14801.57,,,,,
NaCl-Na2TiF6,47.07-52.93,+E,1000,1120,,10.154,-13823.33,,,,,
NaCl-Na2TiF6,54.25-45.75,+E,970,1100,,12.9295,-15689.43,,,,,
NaCl-Na2TiF6,60.38-39.62,+E,1000,1120,,9.44362,-12381.08,,,,,
NaCl-Na2TiF6,65.70-34.30,+E,1000,1120,,14.8016,-15529.59,,,,,
NaCl-Na2TiF6,70.33-29.67,+E,1000,1100,,16.9259,-15740.89,,,,,
NaCl-Na2TiF6,78.05-21.95,+E,1020,1120,,14.9208,-13803.67,,,,,
NaCl-Na2TiF6,89.25-10.75,+E,1020,1120,,18.7331,-14550.94,,,,,
NaCl-Na2TiF6,93.43-6.57,+E,1050,1140,,20.0354,-14723.32,,,,,
NaCl-Na2TiF6,96.97-3.03,+E,1050,1140,,12.5387,-9927.12,,,,,
NaCl-Na3AlF6,0-100,+E,1270,1370,,9.088,-12447.61,,,,"For 100% Na3AlF6, the departures from the recommended data set are: 1280 K, +0.17%, 1350 K, +0.27%.",
NaCl-Na3AlF6,15.8-84.2,+E,1280,1360,,8.27555,-11225.86,,,,,
NaCl-Na3AlF6,28.5-71.5,+E,1250,1340,,8.81874,-11746.78,,,,,
NaCl-Na3AlF6,38.8-61.2,+E,1240,1360,,8.4599,-11168.12,,,,,
NaCl-Na3AlF6,47.4-52.6,+E,1240,1340,,8.40651,-11096.99,,,,,
NaCl-Na3AlF6,60.6-39.4,+E,1200,1330,,7.73483,-10109.55,,,,,
NaCl-Na3AlF6,70.5-29.5,+E,1200,1320,,6.83936,-8515.42,,,,,
NaCl-Na3AlF6,78.2-21.8,+E,1200,1320,,6.33412,-7248.48,,,,,
NaCl-Na3AlF6,84.2-15.8,+E,1210,1340,,5.72429,-5775.69,,,,,
NaCl-Na3AlF6,89.3-10.7,+E,1200,1330,,5.89752,-5433.43,,,,,
NaCl-Na3AlF6,93.5-6.5,+E,1200,1310,,6.32268,-5626.74,,,,,
NaCl-Na3AlF6,97.1-2.9,+E,1180,1320,,6.13469,-4699.97,,,,,
NaCl-Na3AlF6,100-0,+E,1200,1330,,7.959,-6928.82,,,,"For 100% NaCl, the departures from the recommended data set are: 1200 K, +4.1%, 1320 K, +4.2%.",
NaCl-Na4P2O7,0-100,+E,1270,1320,,22.812,-24568.86,,,,"For 100% Na4P2O7, the results have been advanced as the recommended data set.",
NaCl-Na4P2O7,20.3-79.7,+E,1270,1320,,29.9149,-26873.86,,,,,
NaCl-Na4P2O7,39.8-60.2,+E,1230,1320,,30.9955,-26611.52,,,,,
NaCl-Na4P2O7,60.3-39.7,+E,1120,1270,,23.6082,-22698.58,,,,,
NaCl-Na4P2O7,68.4-31.6,+E,1070,1320,,14.9471,-17648.41,,,,,
NaCl-Na4P2O7,80.9-19.1,+E,1070,1320,,12.9222,-15113.7,,,,,
NaCl-Na4P2O7,90.1-9.9,+E,1073,1273,,11.989,-13058.9,,,,,
NaCl-Na4P2O7,95.5-4.5,+E,1123,1323,,8.82254,-9298.68,,,,,
NaCl-Na4P2O7,100-0,+E,1073,1323,,6.87326,-5848.91,,,,"For 100% NaCl, the departures from the recommended data set are: 1080 K, -0.4%, 1320 K, -2.5%.",
NaCl-NbCl5,78.3-21.7,+E,1073,1123,,2031.2,-65484.04,,,,,
NaCl-NbCl5,87.6-12.4,+E,1073,1123,,93.81,-33486.37,,,,,
NaCl-NbCl5,87.7-12.3,+E,1073,1123,,94.868,-33627.37,,,,,
NaCl-NbCl5,92.1-7.9,DP,,,,2.98,1123K,,,,,
NaCl-NbCl5,92.8-7.2,DP,,,,2.94,1123K,,,,,
NaCl-NbCl5,100-0,+E,1073,1123,,17.995,-15027.51,,,,"For 100% NaCl, the departures from the recommended data set are: 1080 K, -6.1%, 1120 K, -3.5%.",
NaCl-NdCl3,0-100 NaCl,I4,1073,,,74.41,0.0311,0.01418,-2.6954E-4,1.806E-6,UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE). Densities to change k to: (ohm-1 cm-1) not reported. For 100% NaCl the departure at 1073 K from the recommended data set is +0.3%.,
NaCl-PbCl2,0.0-100.0,+E,830,1070,,12.297,-13480.66,,,,"For 100% PbCl2, the departures from the recommended data set are: 830 K, +1.2%, 1070 K, -4.2%.",
NaCl-PbCl2,10.0-90.0,+E,830,1070,,10.879,-12502.42,,,,,
NaCl-PbCl2,20.0-80.0,+E,780,1070,,13.654,-14148.85,,,,,
NaCl-PbCl2,28.0-72.0,+E,780,1070,,11.358,-12731.71,,,,,
NaCl-PbCl2,50.0-50.0,+E,880,1070,,11.217,-12465.18,,,,,
NaCl-PbCl2,66.7-33.3,+E,950,1070,,10.744,-11685.69,,,,,
NaCl-PbCl2,80.0-20.0,+E,1060,1080,,33.458,-20923.28,,,,,
NaCl-PrCl3,0-100,+E,1071,1262,,14.69999,-24198.07,,,,"For 100% PrCl3, the results have been advanced as the recommended data set",
NaCl-PrCl3,24.9-75.1,+E,993,1252,,14.24889,-22797.2,,,,,
NaCl-PrCl3,37.6-62.4,+E,932,1269,,13.65176,-20812.28,,,,,
NaCl-PrCl3,50.7-49.3,+E,870,1250,,11.47897,-17994.47,,,,,
NaCl-PrCl3,63.0-37.0,+E,803,1266,,10.36904,-15782.52,,,,,
NaCl-PrCl3,74.7-25.3,+E,910,1256,,7.679356,-11382.64,,,,,
NaCl-PrCl3,87.2-12.8,+E,1050,1262,,6.776232,-8356.63,,,,,
NaCl-PrCl3,100-0,+E,1115,1258,1.5%,6.927953,-5763.22,,,,"For 100% NaCl the departures from the recommended data set are: 1120 K 0.24%,1250 K -0.15%",
NaCl-PrCl3,0-100 NaCl,I4,1073,,,76.7,0.0222,0.014364,-2.9872E-4,2.0896E-6,"For the ISOTHERM, the UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE). Densities to change k to (ohm-1 cm-1) not reported. For 100% NaCl the departure at 1073 K from the recommended data set is -1.1%.",
NaCl-RbCl,0-100,+E,1020,1190,,6.246,-11673.56,,,,"For 100% RbCl, the departures from the recommended data set are: 1020 K, -0.13%, 1170 K, -4.2%.",
NaCl-RbCl,25-75,+E,1050,1160,,6.204,-10860.17,,,,,
NaCl-RbCl,50-50,+E,1060,1150,,6.525,-10163.11,,,,,
NaCl-RbCl,75-25,+E,1050,1150,,6.875,-8822.95,,,,,
NaCl-RbCl,100-0,+E,1090,1170,,7.689,-6808.74,,,,"For 100% NaCl, the departures from the recommended data set are: 1090 K, 0.0%,1170 K, -0.5%.",
NaCl-ScCl3,20-80,DP,,,,1.02,1233K,,,,,
NaCl-ScCl3,30-70,DP,,,,1.14,1233K,,,,,
NaCl-ScCl3,40-60,+E,1153,1233,,3.673,-11132.97,,,,,
NaCl-ScCl3,50-50,+E,993,1233,,5.833,-14067.68,,,,,
NaCl-ScCl3,60-40,+E,833,1233,,8.179,-15222.9,,,,,
NaCl-ScCl3,70-30,+E,833,1233,,7.885,-13124.59,,,,,
NaCl-ScCl3,80-20,+E,993,1233,,7.283,-10448.04,,,,,
NaCl-ScCl3,90-10,+E,1073,1233,,6.999,-7791.58,,,,,
NaCl-ScCl3,100-0,+E,1073,1233,,7.199,-6298.28,,,,"For 100% NaCl, the departures from the recommended data set are: 1073 K, -1.1%, 1233 K, -1.5%.",
NaCl-SmCl3,0-100 NaCl,I4,1073,,,66.79,0.1365,0.019343,-4.2081E-4,2.8409E-6,UNITS of k are: ohm-1 cm+2 mol-1 (MOLAR CONDUCTANCE). Densities to change k to (ohm-1 cm-1) not reported. For 100% NaCl at 1073 K the departure from the recommended data set is +1.8%.,
NaCl-SrCl2,0-100,+E,1148,1273,,14.975,-19521.2,,,,"For 100% SrCl2, the departures from the recommend data set are: 1148 K -3.1%, 1273 K -4.4%.",
NaCl-SrCl2,10-90,+E,1023,1273,,12.699,-17880.62,,,,,
NaCl-SrCl2,20-80,+E,973,1273,,11.841,-16928.75,,,,,
NaCl-SrCl2,30-70,+E,948,1273,,11.398,-16185.66,,,,,
NaCl-SrCl2,40-60,+E,948,1273,,11.243,-15635.03,,,,,
NaCl-SrCl2,50-50,+E,948,1273,,10.946,-14896.96,,,,,
NaCl-SrCl2,60-40,+E,948,1273,,10.946,-14290.69,,,,,
NaCl-SrCl2,70-30,+E,948,1273,,10.458,-13041.75,,,,,
NaCl-SrCl2,80-20,+E,998,1273,,9.793,-11409.12,,,,,
NaCl-SrCl2,90-10,+E,1073,1273,,8.142,-8414.16,,,,,
NaCl-SrCl2,100-0,+E,1123,1273,,8.884,-8144.71,,,,"For 100% NaCl, the departures from the recommended data set are: 1123 K 0.03%,1273 K 1.8%.",
NaCl-ThCl4,30-70,DP,,,,0.58,973K,,,,,
NaCl-ThCl4,40-60,+E,873,973,,9.3,-18996.1,,,,,
NaCl-ThCl4,50-50,+E,823,973,,7.635,-16201.56,,,,,
NaCl-ThCl4,60-40,+E,823,973,,8.137,-15219.14,,,,,
NaCl-ThCl4,70-30,+E,823,973,,7.452,-14594.45,,,,,
NaCl-ThCl4,80-20,+E,973,1073,,10.48,-15774.36,,,,,
NaCl-ThCl4,90-10,DP,,,,2.46,1073K,,,,,
NaCl-ThCl4,100-0,DP,,,,3.61,1073K,,,,"For 100% NaCl, the departure from the recommended data set is: +0.6%.",
NaCl-TiCl3,0-40 TiCl3,I4,1073,,,3.5,-0.2728,0.018,-5.2665E-4,5.437E-6,"For 100% NaCl at 1073 K, the departure from the recommended data set is -2.5%.",
NaCl-UCl3,15.1-84.9,+E,1080,1210,,8.997,-19372.66,,,,,
NaCl-UCl3,24.9-75.1,+E,1070,1220,,12.207,-22713.22,,,,,
NaCl-UCl3,45.1-54.9,+E,1020,1210,,8.399,-17547.99,,,,,
NaCl-UCl3,55.0-45.0,+E,950,1210,,9.454,-17091.09,,,,,
NaCl-UCl3,68.3-31.7,+E,880,1100,,7.243,-13641.32,,,,,
NaCl-UCl3,74.3-25.7,+E,950,1120,,5.438,-10018.34,,,,,
NaCl-UCl3,80.0-20.0,+E,970,1110,,5.593,-9041.78,,,,,
NaCl-UCl3,95.0-5.0,+E,1070,1170,,3.009,-2976.97,,,,,
NaCl-UCl4,0.00-100.00,+E,872,1001,,5.216,-18104.05,,,,"For 100% UCl4, the results have been advanced as the recommended data set.",
NaCl-UCl4,3.41-96.59,+E,870,930,,6.179,-19010.32,,,,,
NaCl-UCl4,7.31-92.69,+E,860,920,,6.138,-18468.48,,,,,
NaCl-UCl4,11.87-88.13,+E,850,910,,6.492,-18232.09,,,,,
NaCl-UCl4,19.08-80.92,+E,830,930,,5.44,-15987.75,,,,,
NaCl-UCl4,28.85-71.15,+E,830,910,,9.4,-18919.95,,,,,
NaCl-UCl4,38.85-61.15,+E,790,920,,5.308,-13472.29,,,,,
NaCl-UCl4,48.76-51.24,+E,800,920,,4.428,-10768.96,,,,,
NaCl-UCl4,55.72-44.28,+E,830,890,,4.088,-9538.84,,,,,
NaCl-UCl4,67.80-32.20,+E,760,910,,4.618,-9425.45,,,,,
NaCl-ZnCl2,0.00-100.00,P3,600,840,,-0.97574,0.0055534,-1.04507E-5,6.5176E-9,,"For 100% ZnCl2, the results have been advanced as the recommended data set.",
NaCl-ZnCl2,2.64-97.36,P3,600,860,,0.81694,-0.00222235,4.4201E-7,1.69466E-9,,,
NaCl-ZnCl2,10.06-89.94,P3,580,860,,1.9342,-0.0079397,9.5769E-6,-2.6725E-9,,,
NaCl-ZnCl2,15.83-84.17,+E,580,860,,80.3645,-33842.43,,,,,
NaCl-ZnCl2,20.84-79.16,+E,580,760,,92.7771,-32646.62,,,,,
NaCl-ZnCl2,30.35-69.65,+E,560,880,,29.4429,-23408.62,,,,,
NaCl-ZnCl2,38.12-61.88,+E,540,760,,39.2446,-23603.59,,,,,
NaCl-ZnCl2,52.50-47.50,+E,620,880,,16.4294,-17049.67,,,,,
NaCl-ZnCl2,62.60-37.40,+E,700,860,,13.498,-15148.01,,,,,
NaCl-ZrCl4,68.1-31.9,+E,923,1073,,9.162,-16527.91,,,,,
NaCl-ZrCl4,68.3-31.7,+E,723,873,,5.068,-11173.56,,,,,
NaCl-ZrCl4,79.8-20.2,DP,,,,1.06,723.2K,,,,,
NaCl-ZrCl4,80.1-19.9,DP,,,,1.08,723.2K,,,,,
NaCl-ZrCl4,81.5-18.5,+E,1023,1073,,39.88,-29390.58,,,,,
NaCl-ZrCl4,85.5-14.5,+E,1073,1123,,28.076,-24853.38,,,,,
NaCl-ZrCl4,92.3-7.7,+E,1073,1123,,367.5,-44721.43,,,,,
NaCl-ZrCl4,96.7-3.3,+E,1073,1123,,79.999,-29687.65,,,,,
NaCl-ZrCl4,96.9-3.1,+E,1073,1123,,430.7,-45325.19,,,,,
NaCl-ZrCl4,100-0,+E,1073,1123,,17.827,-14986.5,,,,"For 100% NaCl, the departures from the recommended data set are: 1073 K, -7%, 1123 K, -3%.",
NaClO3,100,+E,540,555,2.5%,48.3,-22348.79,,,,,
NaClO3-NaNO3,38.9-61.1,+E,520,550,,39.4631,-19327.47,,,,,
